"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-04-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.11,"provisorisch"
"2026-04-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.09,"provisorisch"
"2026-04-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.35,"provisorisch"
"2026-04-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",277.13,"provisorisch"
"2026-04-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",138.43,"provisorisch"
"2026-04-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.87,"provisorisch"
"2026-04-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.94,"provisorisch"
"2026-04-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.76,"provisorisch"
"2026-04-02T00:00+0100","Zch_Heubeeribüel","T","d1","°C",4.7,"provisorisch"
"2026-04-02T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",9.34,"provisorisch"
"2026-04-02T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",944.92,"provisorisch"
"2026-04-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.28,"provisorisch"
"2026-04-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.89,"provisorisch"
"2026-04-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",965.34,"provisorisch"
"2026-04-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.02,"provisorisch"
"2026-04-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.1,"provisorisch"
"2026-04-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",967.9,"provisorisch"
"2026-04-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",216.95,"provisorisch"
"2026-04-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.77,"provisorisch"
"2026-04-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.73,"provisorisch"
"2026-04-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.29,"provisorisch"
"2026-04-03T00:00+0100","Zch_Heubeeribüel","T","d1","°C",8.3,"provisorisch"
"2026-04-03T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",13.69,"provisorisch"
"2026-04-03T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",948.14,"provisorisch"
"2026-04-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",9.43,"provisorisch"
"2026-04-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",14.51,"provisorisch"
"2026-04-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.43,"provisorisch"
"2026-04-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",9.94,"provisorisch"
"2026-04-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.87,"provisorisch"
"2026-04-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.94,"provisorisch"
"2026-04-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-04-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",225.72,"provisorisch"
"2026-04-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",9.78,"provisorisch"
"2026-04-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",15.04,"provisorisch"
"2026-04-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.43,"provisorisch"
"2026-04-04T00:00+0100","Zch_Heubeeribüel","T","d1","°C",11.4,"provisorisch"
"2026-04-04T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",15.94,"provisorisch"
"2026-04-04T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",952.24,"provisorisch"
"2026-04-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",79.83,"provisorisch"
"2026-04-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",12.81,"provisorisch"
"2026-04-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",17.29,"provisorisch"
"2026-04-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.3,"provisorisch"
"2026-04-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",57.23,"provisorisch"
"2026-04-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",12.98,"provisorisch"
"2026-04-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",17.3,"provisorisch"
"2026-04-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.76,"provisorisch"
"2026-04-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",119.5,"provisorisch"
"2026-04-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",180.88,"provisorisch"
"2026-04-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",12.96,"provisorisch"
"2026-04-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",17.06,"provisorisch"
"2026-04-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.25,"provisorisch"
